cod;municipio;UF;votos;numeroafiliados;txalfabetizacao;energiaeletrica;perccatolicos;rendapercapita2010;percate40anos;qtnovodepfed;percvotonovo;SOBRE60;E_ANOSESTUDO;T_ANALF18M;GINI;RDPC;P_FORMAL;P_SUPER;TRABCC;TRABPUB;TRABSC;PEA18M;PESO18;pesoRUR;pesotot;pesourb;IDHM
5200050;ABADIA DE GOIÁS;GO;61;0;93;99,67;0,682352941;634,46;0,37434555;6;0,012839402;83,07;7,94;8,36;0,42;574,96;50,54;8,14;39,4;8,65;24,94;3484;4751;1795;6876;5081;0,708
3100104;ABADIA DOS DOURADOS;MG;211;0;91,6;98,92;0,852247076;648,2;0,332935561;37;0,041815299;83,02;8,68;9,67;0,47;596,18;41,97;6,87;26,56;10,22;18,65;3322;5046;2515;6704;4189;0,689
5200100;ABADIÂNIA;GO;44;0;90,2;99,59;0,797769517;584,92;0,372215523;6;0,003972553;84;9,31;11,67;0,43;519,87;39,37;5,38;28,32;7,05;28,55;7275;11076;4979;15757;10778;0,689
3100203;ABAETÉ;MG;677;1;92;99,7;0,850149911;853,67;0,323490524;37;0,040458973;83,81;9,19;9,28;0,54;707,24;55,37;7,97;39,32;5,49;28,38;11034;16733;2986;22690;19704;0,698
1500107;ABAETETUBA;PA;174;1;87,3;91,51;0,833761842;346,71;0,389751949;0;0,001986642;86,58;8,99;14,97;0,53;293,01;32,99;5,59;17,68;8,3;24,64;54345;87585;58102;141100;82998;0,628
2300101;ABAIARA;CE;3;0;73,7;99,14;0,954419635;272,42;0,351467226;6;0,000450586;81,65;9,7;31,89;0,48;229,74;22,18;5,17;19,39;1,05;51,1;3481;6658;5944;10496;4552;0,628
2900108;ABAÍRA;BA;32;0;81,9;97,01;0,893323551;341,22;0,31986532;8;0,005075337;81,44;9,6;20,6;0,46;290,53;19,46;4,47;9,97;7,11;31,93;3455;6305;4580;8316;3736;0,603
2900207;ABARÉ;BA;13;0;75,6;91,52;0,940637681;280,1;0,36128692;8;0,001220772;84,42;7,33;29,03;0,55;220,16;24,87;4,5;14,09;8,37;29,24;6123;10649;8035;17064;9029;0,575
4100103;ABATIÁ;PR;61;0;84,8;99,48;0,852296093;607,16;0,319680577;16;0,010850231;80,8;9,93;18,07;0,44;535,86;50,35;6,42;42,57;0,93;26,55;3808;5622;2032;7764;5732;0,687
4200051;ABDON BATISTA;SC;23;0;91,1;99,65;0,980817769;561,88;0,302299284;16;0,011904762;81,57;9,37;10,4;0,45;485,35;66,11;9,15;14,6;8,23;14,72;1076;1932;1929;2653;724;0,694
1500131;ABEL FIGUEIREDO;PA;34;2;84,2;94,27;0,726887417;447,79;0,369764012;0;0,008037825;86,69;8,51;19,24;0,57;390,12;26,23;4,87;12,76;10,94;49,99;2637;4230;746;6780;6034;0,622
4200101;ABELARDO LUZ;SC;102;1;90,2;98,7;0,854868567;644,23;0,335263158;16;0,009077964;85;9,86;11,96;0,53;562,88;47,06;8,07;34,75;4,55;14,69;8198;11236;7530;17100;9570;0,696
3100302;ABRE CAMPO;MG;221;0;88,9;98,83;0,929802305;510,18;0,330854181;37;0,023290125;81,56;9,34;13,1;0,52;444,32;35,42;8,41;18,98;11,95;28,22;6016;9489;6030;13311;7281;0,654
2600054;ABREU E LIMA;PE;442;0;90,5;99,86;0,545069113;430,98;0,380719906;10;0,006576304;85,9;10,01;10,7;0,45;390,4;58,59;4,91;51,86;3,89;20,68;41583;67211;7804;94429;86625;0,679
1700251;ABREULÂNDIA;TO;1;0;87,7;78,03;0,851369863;1183,13;0,331242158;0;0,00065703;89,87;7,24;14,19;0,71;624,03;24,81;10,19;7,95;14,24;34,67;1058;1522;915;2391;1476;0,665
3100401;ACAIACA;MG;22;0;87,5;99,37;0,895968323;411,51;0,330612245;37;0,007925072;81,56;10,09;14,95;0,48;357,03;47,42;8,86;40,85;2,44;32,37;1601;2776;1367;3920;2553;0,63
2100055;AÇAILÂNDIA;MA;445;2;84;98,76;0,758504082;491,44;0,387267293;0;0,006843311;85,14;9,34;19,22;0,56;438,56;46,44;6,04;37,66;5,46;26,84;42036;65027;25810;104047;78237;0,672
2900306;ACAJUTIBA;BA;22;0;79,7;97,54;0,779242875;321,33;0,32669078;8;0,002375297;79,04;8,28;24,1;0,57;260,46;18,56;3,57;13,65;3,17;36,04;5483;9262;1879;14653;12774;0,582
1500206;ACARÁ;PA;45;0;78,8;72,71;0,63546864;241,75;0,353581362;0;0,001480848;82,62;6,03;22,85;0,53;199,34;15,21;2,09;7,15;4,98;18,86;19705;30388;40948;53569;12621;0,506
2300150;ACARAPE;CE;24;0;80,5;98,71;0,831080258;297,57;0,3563698;6;0,002405533;77,53;9,14;23,53;0,43;259,03;36,98;4,53;26,03;8,64;42,32;5181;9977;7356;15338;7982;0,606
2300200;ACARAÚ;CE;81;1;74,3;95,76;0,876960833;303,22;0,369585237;6;0,00219536;82,68;10,03;31,56;0,6;250,79;16,16;4,18;10,05;3,16;43,31;20898;36896;29309;57551;28242;0,601
2400109;ACARI;RN;52;0;83,8;99,39;0,92770633;515,46;0,358133213;5;0,006961178;84,77;10,05;18,9;0,49;410,61;42,65;7,96;27,03;8,79;36,02;4114;7470;2133;11035;8902;0,679
